,id,nama,badge,link,harga,diskon,harga_asli,gambar,review_count,review_avg
232,1595339430,Acer Spin 3 SP313-51N-58RG Intel Evo i5-1135G7 Silver (NX.A9VSN.002),Official Store,https://www.tokopedia.com/acerstoreofficial/acer-spin-3-sp313-51n-58rg-intel-evo-i5-1135g7-silver-nx-a9vsn-002?extParam=whid%3D2155150,Rp 13.129.000,0,,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/9/22/2c0f044a-4820-49a8-bdeb-60c972182718.png,9,
233,1566623019,Acer Predator Cestus 510 Gaming Mouse [NP.MCE11.00A],Official Store,https://www.tokopedia.com/acerstoreofficial/acer-predator-cestus-510-gaming-mouse-np-mce11-00a?extParam=whid%3D2155150,Rp 1.079.000,8,Rp 1.179.100,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/9/18/4ab07921-aa2d-45a8-8e5b-24c077785178.png,3,
234,1159575180,Acer Predator Galea 350 Gaming Headset [NP.HDS11.00C],Official Store,https://www.tokopedia.com/acerstoreofficial/acer-predator-galea-350-gaming-headset-np-hds11-00c?extParam=whid%3D2155150,Rp 1.079.000,17,Rp 1.299.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/9/26/ecadd73a-63ba-4e3b-86ef-9312a615a402.png,2,
235,1122792044,Acer Predator Cestus 320 Gaming Mouse,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-predator-cestus-320-gaming-mouse?extParam=whid%3D2155150,Rp 409.000,26,Rp 549.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/1/13/80238faa-7f42-4bcf-842f-6bb15c780736.jpg,4,
236,337516958,Acer Predator Mousepad Fab & Rubber PMP720 - Gaming Mousepad,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-predator-mousepad-fab-rubber-pmp720-gaming-mousepad?extParam=whid%3D2155150,Rp 449.000,20,Rp 559.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/1/13/0fa37fd1-0bff-49dd-9899-5bb004eb3de5.jpg,2,
237,337503212,Predator Mouse Cestus 500 - Gaming Mouse,Official Store,https://www.tokopedia.com/acerstoreofficial/predator-mouse-cestus-500-gaming-mouse?extParam=whid%3D2155150,Rp 899.000,18,Rp 1.099.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2021/9/19/097d6762-5f57-4bfa-8035-35afc016d7b2.png,4,
238,11391798861,"ACER PREDATOR HELIOS NEO 16 PHN16-71-57RC 16"" I5-13500HX 8GB 512GB SSD",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-predator-helios-neo-16-phn16-71-57rc-16-i5-13500hx-8gb-512gb-ssd,Rp 17.499.000,10,Rp 19.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/28/1b190536-a039-4f49-9222-13704e8abb02.jpg,2,
239,11242814044,"ACER LAPTOP ASPIRE VERO AV14-52P-53ED 14"" i5-1335U RAM 16GB 512GB W11 ",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-vero-av14-52p-53ed-14-i5-1335u-ram-16gb-512gb-w11,Rp 9.999.000,23,Rp 12.999.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/30/7d2cdc5d-21f6-44eb-8656-ba5300342518.jpg,0,
240,11499632131,"ACER ASPIRE 7 A715-76G-53GV 15.6"" i5-12450H 8GB 512GB SSD RTX2050 W11",Official Store,https://www.tokopedia.com/acerstoreofficial/acer-aspire-7-a715-76g-53gv-15-6-i5-12450h-8gb-512gb-ssd-rtx2050-w11?extParam=whid%3D2155150,Rp 10.499.000,20,Rp 13.199.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/4/c29e6f57-9c73-480d-b602-34518faa49f2.jpg,0,
241,11499312878,ACER ASPIRE 3 SPIN 14 A3SP14-31PT-35GN 14 INTEL I3-N305 RAM 8GB 512G,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-aspire-3-spin-14-a3sp14-31pt-35gn-14-intel-i3-n305-ram-8gb-512g?extParam=whid%3D2155150,Rp 8.499.000,17,Rp 10.199.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/4/7644969c-aa9d-42fd-8cef-d0b5859d67a3.jpg,0,
242,11477149887,ACER LAPTOP ASPIRE 3 A314-36P-P3ET 14FHD INTEL N200 RAM 8G 512G SSD,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-3-a314-36p-p3et-14fhd-intel-n200-ram-8g-512g-ssd?extParam=whid%3D2155150,Rp 5.399.000,17,Rp 6.479.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/9/1/df0aa6c0-6992-4342-95d1-fcb1c280b5c0.jpg,0,
243,11419840118,ACER LAPTOP NITRO 5 AN515-58-710Q 15.6 I7-12650H 16GB 512GB RTX 4060,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-nitro-5-an515-58-710q-15-6-i7-12650h-16gb-512gb-rtx-4060?extParam=whid%3D2155150,Rp 20.499.000,9,Rp 22.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/29/b64b5690-aca3-47f0-a14d-0e208dd81538.jpg,0,
244,11419663520,ACER LAPTOP NITRO 5 AN515-58-70LA 15.6 I7-12650H 16GB 512GB RTX 4050,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-nitro-5-an515-58-70la-15-6-i7-12650h-16gb-512gb-rtx-4050?extParam=whid%3D2155150,Rp 18.499.000,10,Rp 20.499.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/29/b2a6ff24-3ee8-4ff3-8198-560614a7317e.jpg,0,
245,11296877760,ACER LAPTOP ASPIRE 3 A314-36P-C7NQ 14FHD INTEL N100 RAM 8GB 512GB W11,Official Store,https://www.tokopedia.com/acerstoreofficial/acer-laptop-aspire-3-a314-36p-c7nq-14fhd-intel-n100-ram-8gb-512gb-w11?extParam=whid%3D13056835,Rp 5.299.000,17,Rp 6.379.000,https://images.tokopedia.net/img/cache/300-square/VqbcmM/2023/8/22/d36a8d19-b97d-439c-af10-d4e3701506b0.jpg,2,
